path	type	lang_tree	template	title	bytes
/about-us/departments/reference-standard.html	html	en	T2-article-detail	Reference Standard - Indian Pharmacopoeia Commission	62561
/about-us/departments/reference-standard/8-category-en/264-protocol-of-ip-prednisone-tablet-for-dissolution-apparatus-calibration.html	html	en	T2-article-detail	Protocol of IP Prednisone Tablet for Dissolution Apparatus Calibration - Indian Pharmacopoeia Commission	56947
/about-us/departments/reference-standard/8-category-en/csrf.token	html	en	T4-category-list	English Category - Indian Pharmacopoeia Commission	242584
/about-us/departments/reference-standard/8-category-en/system.paths	html	en	T4-category-list	English Category - Indian Pharmacopoeia Commission	242588
/about-us/departments/store.html	html	en	T2-article-detail	Supply Chain &amp; Maintenance Management - Indian Pharmacopoeia Commission	56771
/about-us/events.html	html	en	T2-article-detail	Events - Indian Pharmacopoeia Commission	57206
/about-us/events/8-category-en/1469-indian-pharmacopoeia-commission-organizes-scientific-conclave-interactive-session-on-indian-pharmacopoeia-2026-at-the-national-institute-of-pharmaceutical-education-and-research-niper-,-hyderabad,-telangana-%2015-may-2026.html	html	en	T2-article-detail	Indian Pharmacopoeia Commission organizes Scientific Conclave &amp; Interactive Session on Indian Pharmacopoeia 2026 at the National Institute of Pharmaceutical Education and Research (NIPER), Hyderabad, Telangana - 15 May 2026 - Indian Pharmacopoeia Commission	63681
/about-us/events/8-category-en/1470-indian-pharmacopoeia-commission-organizes-scientific-conclave-interactive-session-on-indian-pharmacopoeia-2026-at-council-of-scientific-and-industrial-research%E2%80%93indian-institute-of-integrative-medicine-csir%E2%80%93iiim-jammu-%2017th-april-2026.html	html	en	T2-article-detail	Indian Pharmacopoeia Commission organizes Scientific Conclave &amp; Interactive Session on Indian Pharmacopoeia 2026 at Council Of Scientific And Industrial Research–Indian Institute Of Integrative Medicine (CSIR–IIIM) Jammu - 17th April 2026. - Indian Pharmacopoeia Commission	60118
/about-us/events/8-category-en/1470-indian-pharmacopoeia-commission-organizes-scientific-conclave-interactive-session-on-indian-pharmacopoeia-2026-at-council-of-scientific-and-industrial-research–indian-institute-of-integrative-medicine-csir–iiim-jammu-%2017th-april-2026.html	html	en	T2-article-detail	Indian Pharmacopoeia Commission organizes Scientific Conclave &amp; Interactive Session on Indian Pharmacopoeia 2026 at Council Of Scientific And Industrial Research–Indian Institute Of Integrative Medicine (CSIR–IIIM) Jammu - 17th April 2026. - Indian Pharmacopoeia Commission	60118
/about-us/expert-committees-working-groups.html	html	en	T2-article-detail	Expert Committees &amp; Working Groups - Indian Pharmacopoeia Commission	61420
/about-us/list-of-employees.html	html	en	T2-article-detail	List of Employees - Indian Pharmacopoeia Commission	57079
/about-us/media-new.html	html	en	T2-article-detail	Gallery - Indian Pharmacopoeia Commission	55748
/about-us/media-new/ipc-in-news-media.html	html	en	T2-article-detail	IPC in News &amp; Media - Indian Pharmacopoeia Commission	63894
/about-us/media-new/ipc-in-news-media/8-category-en/631-centre-for-cellular-molecular-biology,-indian-pharmacoepia-commission-ink-pact-on-biosimilars-and-herbal-drugs.html	html	en	T2-article-detail	Centre for Cellular &amp; Molecular Biology, Indian Pharmacoepia Commission ink pact on biosimilars and herbal drugs - Indian Pharmacopoeia Commission	58044
/about-us/media-new/news-highlights.feed	html	en	T4-category-list	News &amp; Highlights - Indian Pharmacopoeia Commission	64699
/about-us/media-new/news-highlights.html	html	en	T4-category-list	News &amp; Highlights - Indian Pharmacopoeia Commission	64699
/about-us/media-new/photo-gallery.html	html	en	T4-category-list	Photo Gallery - Indian Pharmacopoeia Commission	115486
/about-us/media-new/photo-gallery/category/1-launch-of-ip-2010.html	html	en	T3-listing-paginated	Photo Gallery - Launch of IP 2010 - Indian Pharmacopoeia Commission	63944
/about-us/media-new/photo-gallery/category/10-1st-national-workshop.html	html	en	T3-listing-paginated	Photo Gallery - 1st National workshop on “Best practices and compliance of Indian Pharmacopoeia standards for herbal drugs and Phytopharmaceuticals” at IPC,Ghaziabad on 18.09.2018 - Indian Pharmacopoeia Commission	73441
/about-us/media-new/photo-gallery/category/14-celebration-of-hindi-diwas-on-14th-september,-2018-at-ipc,-ghaziabad.html	html	en	T3-listing-paginated	Photo Gallery - Celebration of &quot;Hindi Diwas&quot; on 14th September, 2018 at IPC, Ghaziabad - Indian Pharmacopoeia Commission	80607
/about-us/media-new/photo-gallery/category/15-national-seminar-on-health-information-resources-and-searching-techniques-held-on-27th-july,-2018.html	html	en	T3-listing-paginated	Photo Gallery - National Seminar on &quot;Health Information Resources and Searching Techniques &quot; held on 27th July, 2018 - Indian Pharmacopoeia Commission	63477
/about-us/media-new/photo-gallery/category/17-national-seminar-on.html	html	en	T3-listing-paginated	Photo Gallery - National Seminar on - Indian Pharmacopoeia Commission	69050
/about-us/media-new/photo-gallery/category/18-national-seminar-27th-july-2018.html	html	en	T3-listing-paginated	Photo Gallery - National Seminar on &quot;Health Information Resources and Searching Techniques&quot; held on 27th July, 2018 - Indian Pharmacopoeia Commission	69995
/about-us/media-new/photo-gallery/category/19-%E2%80%9C6th-who-bi-annual-inter-regional-seminar-for-quality-control-laboratories-qcls-involved-in-who-prequalification%E2%80%9D-from-23rd-to-25th-october,-2018.html	html	en	T3-listing-paginated	Photo Gallery - “6th WHO Bi-annual Inter-regional Seminar for Quality Control Laboratories (QCLs) involved in WHO prequalification” from 23rd to 25th October, 2018 - Indian Pharmacopoeia Commission	83399
/about-us/media-new/photo-gallery/category/19-%ef%bf%bd%ef%bf%bd%ef%bf%bd6th-who-bi-annual-inter-regional-seminar-for-quality-control-laboratories-qcls-involved-in-who-prequalification%ef%bf%bd%ef%bf%bd%ef%bf%bd-from-23rd-to-25th-october,-2018.html	html	en	T3-listing-paginated	Photo Gallery - “6th WHO Bi-annual Inter-regional Seminar for Quality Control Laboratories (QCLs) involved in WHO prequalification” from 23rd to 25th October, 2018 - Indian Pharmacopoeia Commission	83507
/about-us/media-new/photo-gallery/category/19-“6th-who-bi-annual-inter-regional-seminar-for-quality-control-laboratories-qcls-involved-in-who-prequalification”-from-23rd-to-25th-october,-2018.html	html	en	T3-listing-paginated	Photo Gallery - “6th WHO Bi-annual Inter-regional Seminar for Quality Control Laboratories (QCLs) involved in WHO prequalification” from 23rd to 25th October, 2018 - Indian Pharmacopoeia Commission	83399
/about-us/media-new/photo-gallery/category/2-memorable-events.html	html	en	T3-listing-paginated	Photo Gallery - Memorable Events - Indian Pharmacopoeia Commission	63905
